ID,filename,NAME,(C2H6+C2H2)/C2H4_Select,C2H6/C2H4_Select,C2H2/C2H4_Select,C2H6-uptake_mmol/g,C2H2-uptake_mmol/g,C2H4-uptake_mmol/g,VOL_A3,DEN_g1cm-3,GCD_A,PLD_A,LCD_A,Sa_A2,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,All_Metals,Has_OMS,Open_Metal_Sites
292,ATEZAC_clean,ATEZAC_clean,2.723947784,2.097221657,0.626726127,4.935615534,1.474941476,2.353406716,17029.5,0.68763,10.53968,7.74023,10.53968,3767.11011,2212.11011,3216.97998,12769.2998,0.74983,1.09045,Er,Yes,Er
301,ATIJUJ_manual,ATIJUJ_manual,4.634123786,1.622153525,3.011970261,0.682428547,1.267114646,0.420692947,3081.94995,0.75339,17.44029,16.95439,17.44029,367.95499,1193.90002,1584.69995,2182.47998,0.70815,0.93995,Co,Yes,Co
304,ATOWIQ_clean,ATOWIQ_clean,3.504247595,2.160927125,1.34332047,3.651916315,2.270180185,1.689976618,2134.77002,0.86675,9.54888,7.69493,9.54568,353.384,1655.37,1909.85999,1449.82996,0.67915,0.78356,Zn,Yes,Zn
305,ATOWOW_clean,ATOWOW_clean,3.25516154,2.123580019,1.131581521,3.934067153,2.096326793,1.852563651,2137.86011,0.8655,9.60606,7.73922,9.60387,348.77899,1631.43994,1884.97998,1450.41003,0.67844,0.78387,Zn,Yes,Zn
308,AVAGIP_clean,AVAGIP_clean,2.79685389,2.470178877,0.326675012,1.582366178,0.209263991,0.640587689,7721.75977,1.40449,4.84155,4.68679,4.83529,467.72299,605.72101,431.27499,3596.02002,0.4657,0.33158,Ag,Yes,Ag
309,AVAGOV_clean,AVAGOV_clean,2.833417909,2.49409118,0.339326729,1.580332385,0.215007785,0.633630558,7720.56006,1.40471,4.8139,4.57423,4.8139,457.39099,592.43201,421.74799,3592.37988,0.4653,0.33124,Ag,Yes,Ag
311,AVAJUE_clean,AVAJUE_clean,1.975857569,1.355778341,0.620079229,0.777820257,0.355744129,0.57370754,225978,0.16412,37.52571,19.54108,37.52571,23065.0996,1020.67999,6219.24023,210012,0.92935,5.66275,Cu,Yes,Cu
312,AVAKAL_clean,AVAKAL_clean,2.001633444,1.366261788,0.635371656,0.773001977,0.359479823,0.565778816,44701.1015,0.20741,26.25291,12.57512,26.25291,5756.93994,1287.88,6209.18018,40792,0.91255,4.39964,Cu,Yes,Cu
313,AVAKEP_clean,AVAKEP_clean,2.003944596,1.517703071,0.486241525,1.315045884,0.42131424,0.866471123,44361.8984,0.24499,25.17564,12.49369,25.17564,6356.91016,1432.96997,5849,39571.6992,0.89202,3.64099,Cu,Yes,Cu
317,AVELOD_clean,AVELOD_clean,2.298764714,2.081482343,0.217282371,4.06891716,0.424747282,1.954817044,4831.16016,0.91524,8.08398,4.98141,8.08398,737.40198,1526.33997,1667.69995,2953.58008,0.61136,0.66798,Cu,Yes,Cu
