ID,filename,NAME,(C2H6+C2H2)/C2H4_Select,C2H6/C2H4_Select,C2H2/C2H4_Select,C2H6-uptake_mmol/g,C2H2-uptake_mmol/g,C2H4-uptake_mmol/g,VOL_A3,DEN_g1cm-3,GCD_A,PLD_A,LCD_A,Sa_A2,Sa_m2cm-3,Sa_m2g-1,Va_A3,Va_m3m-3,Va_cm3g-1,All_Metals,Has_OMS,Open_Metal_Sites
2402,GIMSIG_clean,GIMSIG_clean,4.388634945,2.573261358,1.815373587,2.167749013,1.529294445,0.842413075,1295.66003,1.44846,8.71143,5.70228,8.71143,168.81,1302.89001,899.50299,751.06702,0.57968,0.4002,Cd,Yes,Cd
2405,GINLIA_clean,GINLIA_clean,3.293998292,2.019210255,1.274788037,3.630376412,2.291965588,1.797918965,3276.26001,0.87714,6.39385,4.60431,6.39349,566.508,1729.13,1971.32996,2131.87012,0.6507,0.74185,Zn,Yes,Zn
2419,GIRXUC_clean,GIRXUC_clean,6.462071867,1.866211305,4.595860563,1.927989008,4.747998592,1.033103274,2920.59009,0.76846,9.02646,6.62876,9.00319,690.91998,2365.68994,3078.46997,2262.22998,0.77458,1.00796,Zn,Yes,Zn
2420,GIRYAJ_clean,GIRYAJ_clean,3.909633169,1.942109512,1.967523658,2.318918566,2.349263578,1.194020498,8573.08008,0.85612,11.11776,6.67504,11.11673,1866.96997,2177.70996,2543.68994,6321.87988,0.73741,0.86134,Zn,Yes,Zn
2426,GISMAY_clean,GISMAY_clean,2.516443121,2.373386534,0.143056587,2.641883164,0.159240303,1.113128067,13763.0996,1.15475,7.56113,5.5145,7.12706,1195.72998,868.79797,752.36499,7668.93018,0.55721,0.48254,Zn,Yes,Zn
2428,GISNED_clean,GISNED_clean,2.151491521,1.664623009,0.486868512,1.610318842,0.470985644,0.967377499,53354.6992,0.44681,16.88394,10.60987,16.88394,10685,2002.64001,4482.06982,44312.6015,0.83053,1.85879,Zn,No, 
2430,GISZUD_clean,GISZUD_clean,2.538695819,1.786681401,0.752014418,1.077402344,0.453478777,0.603018727,979.10199,1.08851,6.49431,5.39638,6.48428,242.00999,2471.76001,2270.76001,710.35797,0.72552,0.66652,Cd,Yes,Cd
2431,GISZUF_clean,GISZUF_clean,20.57950092,1.916181099,18.66331982,0.264733842,2.578468369,0.138157005,6369.3501,1.31215,5.98913,5.07662,5.983,334.19,524.68402,399.86499,3298.42993,0.51786,0.39466,Cd,Yes,Cd
2432,GITPIK_clean,GITPIK_clean,3.39369617,2.236841338,1.156854832,3.068058889,1.586745868,1.371603268,3819.55005,1.05932,6.71051,5.85889,6.51687,639.06097,1673.13,1579.43994,2318.8501,0.6071,0.5731,Zn,Yes,Zn
2435,GITTUZ_clean,GITTUZ_clean,2.637906363,2.327367172,0.310539191,2.465802766,0.329010568,1.05948163,11363.5996,1.03314,10.85901,8.03964,10.85901,1385.55005,1219.28003,1180.17004,7022.6001,0.61799,0.59816,Zn,No, 
2436,GITVEL01_clean,GITVEL01_clean,2.398318221,1.870909543,0.527408678,2.072787589,0.584318021,1.107903691,11386.5,0.77711,15.27666,13.37931,15.27666,1929.83997,1694.85999,2180.96997,8285.48047,0.72766,0.93636,Zn,No, 
2437,GITVEL_clean,GITVEL_clean,2.437127787,1.92473217,0.512395617,2.099119383,0.558820384,1.090603366,11386.5,0.77711,15.24588,13.37948,15.24588,1939.44995,1703.29004,2191.83008,8296.87012,0.72866,0.93765,Zn,No, 
2441,GIVNIK_clean,GIVNIK_clean,2.472172874,2.246636256,0.225536618,4.490648859,0.450809851,1.998832186,10104.2998,0.86744,7.21449,5.67473,7.21449,2161.04004,2138.72998,2465.55005,6691.99023,0.66229,0.7635,"Ag,Zn",Yes,Ag
2442,GIVNOQ_clean,GIVNOQ_clean,2.530363137,2.289319934,0.241043203,4.43712982,0.46718677,1.938186863,9707.26953,0.89741,7.18513,5.72761,7.17339,2000.88,2061.21997,2296.86011,6333.22021,0.65242,0.72701,"Ag,Zn",Yes,Ag
2450,GIXGOK_clean,GIXGOK_clean,4.195421297,2.132036203,2.063385095,1.041656335,1.008115225,0.488573475,13736.5,1.04037,17.36935,5.4018,17.36935,1927.34998,1403.08997,1348.65002,9008.08984,0.65578,0.63033,Cd,No, 
2452,GIXNAE_clean,GIXNAE_clean,4.028498281,2.204195692,1.824302589,3.525249294,2.917672617,1.599335897,2702.77002,0.85265,7.22845,6.88703,7.22003,487.91501,1805.23999,2117.21997,1764.22998,0.65275,0.76556,Ni,No, 
2453,GIYSEN_clean,GIYSEN_clean,5.366774266,2.913667466,2.4531068,1.009717342,0.850112275,0.346545154,2120.20996,1.45199,5.42608,5.04414,5.4195,168.66901,795.53198,547.89301,1053.97998,0.49711,0.34237,"Mo,Cu",No, 
2454,GIYSIR_clean,GIYSIR_clean,4.449609205,2.953464166,1.496145039,1.16917508,0.592272463,0.395865673,2100.25,1.46578,5.35034,4.96809,5.33586,161.819,770.47601,525.64099,1035.91003,0.49323,0.3365,"Mo,Cu",No, 
2455,GIYSOX_clean,GIYSOX_clean,6.04537453,3.031965563,3.013408967,0.939880659,0.93412829,0.309990545,2094.31006,1.46994,5.41931,4.91867,5.41931,158.144,755.11298,513.703,1023.96997,0.48893,0.33262,"Mo,Cu",No, 
2458,GIYTIS_SL,GIYTIS_SL,3.245254587,2.473612336,0.771642251,3.616917294,1.128295716,1.46220054,1382.09998,0.96684,6.15959,5.08946,6.15959,259.961,1880.91003,1945.41003,882.11401,0.63824,0.66013,Zn,Yes,Zn
2462,GOBGAG_clean,GOBGAG_clean,4.345386128,2.11397163,2.231414498,1.029405945,1.086595164,0.486953529,13594.9003,1.05121,17.26438,5.33815,17.26438,1943.83997,1429.82996,1360.18005,8902.73047,0.65486,0.62296,Cd,No, 
2465,GOGSIF_clean,GOGSIF_clean,2.937097062,2.164631918,0.772465144,3.277005963,1.169424169,1.513886003,4552.37988,0.84309,8.22407,5.82511,8.22407,739.34802,1624.08997,1926.34998,2922.26001,0.64192,0.76139,Co,Yes,Co
2470,GOKBUE_clean,GOKBUE_clean,8.448185379,1.831796245,6.616389135,0.464536282,1.677890114,0.253596045,1129.16003,1.63047,6.09249,4.54759,6.09249,126.708,1122.15002,688.23499,624.638,0.55319,0.33928,Cu,Yes,Cu
2474,GOMFOF_clean,GOMFOF_clean,5.938555776,1.65818761,4.280368165,0.930146226,2.401036089,0.560941488,16676,0.88709,14.8276,14.77034,14.8276,1948.25,1168.30005,1317.01001,10518.4003,0.63075,0.71103,"Pd,K",Yes,"Pd,K"
2478,GONNAA_clean,GONNAA_clean,3.670058323,1.964463359,1.705594965,2.450052372,2.127195181,1.247186598,4723.06982,0.94426,7.09205,5.80307,7.09205,1183.63,2506.05005,2653.98999,3304.87012,0.69973,0.74104,Zn,Yes,Zn
2480,GOPTIQ_clean,GOPTIQ_clean,2.222996057,2.085683954,0.137312103,4.969497284,0.327169473,2.382670334,4613.64014,0.77063,6.68622,4.50914,6.67956,729.27698,1580.69995,2051.16992,2958.26001,0.6412,0.83204,Ni,Yes,Ni
2481,GOQSIQ_clean,GOQSIQ_clean,2.568943825,2.302412014,0.266531811,3.012871051,0.348775968,1.308571634,13183,1.00533,8.1775,6.04263,8.04141,1851.10999,1404.17004,1396.72998,8438.95996,0.64014,0.63675,Zn,No, 
2483,GOQXAN_clean,GOQXAN_clean,2.91480109,1.648438625,1.266362465,2.191758154,1.683751046,1.329596456,1537.73999,1.32869,6.22843,5.8492,6.22773,199.142,1295.03003,974.66498,853.38599,0.55496,0.41767,Cd,Yes,Cd
2484,GORQAF_clean,GORQAF_clean,2.150177186,1.513481306,0.63669588,0.290996438,0.122417259,0.192269595,969.664,1.1538,6.72825,5.09275,6.72825,250.342,2581.73999,2237.59009,746.09802,0.76944,0.66688,Cd,No, 
2485,GOSBOH_clean,GOSBOH_clean,2.542398117,1.889868796,0.652529321,3.692330537,1.274878946,1.95374967,2658.18994,0.787,10.37122,8.95436,10.37122,397.548,1495.56006,1900.32996,1767.95996,0.6651,0.84511,Cu,Yes,Cu
2486,GOSDEZ_clean,GOSDEZ_clean,3.869085935,2.157034149,1.712051786,2.805596746,2.226820064,1.30067331,9731.15039,0.98716,8.09273,5.75735,7.88104,1590.66003,1634.59998,1655.85999,6058.12012,0.62255,0.63064,Cd,Yes,Cd
2487,GOSDID_clean,GOSDID_clean,3.711919381,2.368589095,1.343330286,2.618421222,1.485020992,1.105477192,6897.95996,1.06883,7.82021,4.59261,7.82021,836.15399,1212.18005,1134.12,3913.90991,0.5674,0.53086,Zn,Yes,Zn
2488,GOSKEG_clean,GOSKEG_clean,3.228495164,2.575711943,0.652783221,3.575930962,0.906276705,1.388327205,8811.16016,0.94319,7.10002,5.21425,6.59335,1338.92004,1519.56995,1611.08997,5357.97998,0.60809,0.64471,Zn,Yes,Zn
2490,GOTDIE_clean,GOTDIE_clean,2.377980018,2.123698767,0.254281251,0.347196627,0.041571617,0.163486758,7041.85986,1.48128,4.73101,4.56435,4.72097,102.232,145.17799,98.0087,2841.66992,0.40354,0.27243,"Cd,Co",No, 
2491,GOTNEK_clean,GOTNEK_clean,5.232157453,2.64234535,2.589812102,1.957796327,1.9188728,0.740931282,8468.78027,1.16398,6.68492,5.17244,6.67225,894.84601,1056.64001,907.784,4691.87988,0.55402,0.47597,Dy,Yes,Dy
2492,GOVHOQ_clean,GOVHOQ_clean,13.51713096,1.336969557,12.18016141,0.051278368,0.467160072,0.038354177,3491.34009,2.10255,5.0786,4.57892,5.0786,112.261,321.54099,152.929,1301.35999,0.37274,0.17728,Zn,No, 
2493,GOVWOF_clean,GOVWOF_clean,3.419383848,2.226019522,1.193364326,3.564651427,1.91100204,1.601356768,9985.99023,0.79443,15.42527,11.20267,15.42527,1757.66003,1760.12,2215.57007,6942.66016,0.69524,0.87514,Mn,Yes,Mn
2494,GOVXIA_clean,GOVXIA_clean,2.688151424,2.424795088,0.263356337,2.194393642,0.238332498,0.904981065,5571.20996,1.1406,6.67259,5.28318,6.67068,518.47998,930.64099,815.92603,2770.56006,0.4973,0.436,Co,Yes,Co
2506,GOZNAM_clean,GOZNAM_clean,14.90896072,1.634210151,13.27475057,0.732134543,5.94715645,0.448005137,5004.47021,0.99242,6.30239,4.60575,6.30081,809.28198,1617.12,1629.46997,3142.90991,0.62802,0.63282,"W,Mn",Yes,Mn
2509,GUBBAG_clean,GUBBAG_clean,3.814463175,1.515873101,2.298590074,0.422178085,0.640168597,0.278504899,3303.8501,1.25773,6.17269,4.47662,6.08707,503.16199,1522.95996,1210.87,2220.41992,0.67207,0.53435,Cd,Yes,Cd
2510,GUBKUL_clean,GUBKUL_clean,145.4860015,0.948979063,144.5370225,0.030583672,4.658135326,0.032227973,6008.68994,1.65394,8.78437,8.58193,8.78437,634.18298,1055.43994,638.13898,3566.1001,0.59349,0.35883,Ba,Yes,Ba
2515,GUCJAQ_clean,GUCJAQ_clean,20.05215274,2.252991879,17.79916086,0.395947951,3.128081084,0.175743177,4068.41992,1.29019,5.76197,4.68972,5.75144,442.49301,1087.63,842.99902,2035.92004,0.50042,0.38787,Zn,No, 
2516,GUDJOG_clean,GUDJOG_clean,5.550457332,2.06919012,3.481267212,2.253560393,3.79145726,1.089102625,8840.16992,1.00363,7.68451,4.9879,7.6811,1509.85999,1707.94995,1701.78003,5357.31982,0.60602,0.60383,Sm,Yes,Sm
2518,GUFBUG_clean,GUFBUG_clean,3.035169686,2.756877414,0.278292272,2.210993791,0.223188192,0.801992058,8636.15039,1.2615,6.13698,5.34529,5.96708,785.58899,909.65198,721.08899,4420.33008,0.51184,0.40574,Ba,No, 
2520,GUFXEM_clean,GUFXEM_clean,3.862467258,2.472552963,1.389914295,2.50934578,1.41059691,1.014880497,4671.68994,1.2094,6.06791,4.72083,6.0579,639.31799,1368.48999,1131.55005,2657.59009,0.56887,0.47037,Zn,Yes,Zn
2524,GUHMIH_clean,GUHMIH_clean,3.750857987,1.848406654,1.902451333,3.748815817,3.858425652,2.028133695,24152.0996,0.49843,13.3149,6.32995,13.3149,6082.5,2518.41992,5052.68018,18776.8007,0.77744,1.55977,Cu,Yes,Cu
2525,GUHNUU_clean,GUHNUU_clean,6.345472887,2.100924306,4.244548581,2.135617517,4.314640121,1.016513308,9208.76953,0.94693,8.22186,5.12827,8.20785,1587.43994,1723.82996,1820.43005,5719.93994,0.62114,0.65595,La,Yes,La
2526,GUHPAC_clean,GUHPAC_clean,6.070236377,2.231095459,3.839140919,2.270302234,3.906605687,1.017572881,9119.24023,0.97291,8.2386,5.1093,8.2386,1585.46997,1738.59998,1787,5618.81982,0.61615,0.6333,Sm,Yes,Sm
2527,GUHPEG_clean,GUHPEG_clean,40.35281028,2.08310487,38.26970541,0.195360697,3.589063813,0.093783419,7284.50977,1.21796,5.72092,4.53231,5.72092,649.83398,892.07599,732.435,3810.6001,0.52311,0.4295,Sm,Yes,Sm
2530,GUJREK01_clean,GUJREK01_clean,2.414412306,2.075412444,0.338999862,1.61589013,0.263941046,0.778587473,6571.97998,1.23624,6.68707,6.10275,6.68707,540.63,822.62799,665.42902,3496.48999,0.53203,0.43036,Cu,Yes,Cu
2531,GUJREK_clean,GUJREK_clean,2.478436711,2.122451911,0.3559848,1.615515082,0.270959644,0.761155093,6571.97998,1.23624,6.69718,6.09535,6.69718,541.80603,824.41803,666.87701,3495.5,0.53188,0.43024,Cu,Yes,Cu
2538,GUKYUI_clean,GUKYUI_clean,4.494085783,2.68525014,1.808835643,0.828390728,0.558019773,0.308496671,1284.67004,1.20599,4.85912,4.51007,4.85912,62.5171,486.64001,403.51901,586.784,0.45676,0.37874,Ca,No, 
2542,GULVUF_clean,GULVUF_clean,2.633713848,2.035663938,0.59804991,2.963571146,0.870656213,1.45582534,16069.2002,0.67433,16.10035,15.32513,16.08854,2516.87988,1566.27002,2322.69995,11747.5996,0.73106,1.08412,Yb,No, 
2543,GULWAM_clean,GULWAM_clean,2.587016601,2.011838831,0.575177771,4.465855425,1.276772636,2.219787866,14053,0.75687,8.69308,7.48414,8.68165,2855.37988,2031.85999,2684.57007,9863.69043,0.70189,0.92736,Yb,No, 
2544,GULWEQ_clean,GULWEQ_clean,2.786879104,1.937025758,0.849853347,2.491484932,1.093117528,1.286242541,71963.7968,0.73457,15.98104,7.52003,15.98036,12286.5996,1707.32996,2324.23999,54700.3984,0.76011,1.03477,Cd,Yes,Cd
2545,GULWIU_clean,GULWIU_clean,3.156097535,1.893322056,1.262775478,2.305586918,1.537740826,1.217746823,16487.0996,0.91898,11.05938,6.30446,11.02908,3563.32007,2161.28003,2351.83008,11991.9003,0.72735,0.79148,Cd,Yes,Cd
2546,GULWOA_clean,GULWOA_clean,4.491304478,2.001248575,2.490055903,1.495555836,1.860847116,0.747311381,3535.6001,1.27683,7.6136,7.16835,7.6136,578.81403,1637.09998,1282.16003,2263.1001,0.64009,0.50131,Cd,Yes,Cd
2548,GUMDEZ_clean,GUMDEZ_clean,4.469893401,3.474416347,0.995477054,2.278206326,0.652743338,0.655709074,1549.27002,1.35338,5.27869,4.82624,5.26972,151.088,975.224,720.58502,793.78198,0.51236,0.37858,Zn,No, 
2549,GUNFAW01_neutral,GUNFAW01_neutral,2.364056694,1.352162316,1.011894378,0.22589416,0.169048514,0.167061422,3716.73999,0.66299,9.61074,7.33598,9.61074,863.47198,2323.19995,3504.12988,2921.91992,0.78615,1.18577,"Cr,Mn",No, 
2551,GUPBEZ02_clean,GUPBEZ02_clean,2.344330434,1.541621623,0.802708811,0.360030404,0.187464663,0.233540058,60485.8984,0.91124,23.87093,10.84779,23.87093,9698.54004,1603.43994,1759.60999,48451.6015,0.80104,0.87906,Cu,Yes,Cu
2553,GUPCAW_clean,GUPCAW_clean,2.420732039,1.779415265,0.641316774,1.356746315,0.488983199,0.762467504,8660.62988,0.81472,13.64671,8.62891,13.64671,1547.46997,1786.79004,2193.12012,6378.99023,0.73655,0.90405,Cd,No, 
2554,GUPDEB_clean,GUPDEB_clean,3.141972925,1.833992393,1.307980532,0.808616503,0.576695219,0.440905048,14186,0.94547,20.68684,7.65386,20.68684,2076.61011,1463.84998,1548.28003,10068.5,0.70975,0.75069,Cd,No, 
2560,GUQWOG_clean,GUQWOG_clean,2.972963428,2.547622209,0.42534122,4.127993356,0.689193917,1.62033183,7111.12012,0.95797,7.33297,4.64507,6.90512,1252.32996,1761.08997,1838.37,4394.81006,0.61802,0.64514,Cd,No, 
2561,GURPIT_clean,GURPIT_clean,2.313887463,1.390489422,0.92339804,0.273080126,0.181347409,0.196391373,6902.97021,0.7097,9.17432,7.72525,9.06468,1584.54004,2295.44995,3234.40991,5349.72998,0.77499,1.092,"Cr,Mn",No, 
2562,GURPUF_clean,GURPUF_clean,2.157411732,1.388888889,0.768522843,0.270518916,0.149687976,0.19477362,7074.93018,0.69659,9.46604,8.41122,9.46604,1630.45996,2304.55005,3308.34009,5502.52002,0.77775,1.11651,"Cr,Mn",No, 
2563,GURTIX_charged,GURTIX_charged,3.066872843,2.583473281,0.483399563,3.345346577,0.625955408,1.294902719,6768.72998,1.24602,6.67771,5.78982,6.67771,1121.38,1656.70996,1329.59998,4149.70996,0.61307,0.49202,In,No, 
2567,GUSJOU_clean,GUSJOU_clean,18.89148177,2.356592892,16.53488888,0.53625937,3.762630839,0.227557068,1973.66003,1.4824,6.46175,4.9377,6.46175,242.60899,1229.22998,829.21899,1071.5,0.5429,0.36623,"Mn,Ge",Yes,Mn
2572,GUVBOQ_clean,GUVBOQ_clean,2.733036165,2.082088696,0.650947469,1.395963246,0.436436134,0.67046291,17600.0996,1.43518,8.83128,4.93156,8.81323,1532.83997,870.922,606.83801,7932.02979,0.45068,0.31402,Zn,Yes,Zn
2574,GUVKUE_clean,GUVKUE_clean,2.218833854,1.884855547,0.333978307,2.388855094,0.423282189,1.267394256,17133.5996,1.22679,8.21847,7.49363,8.20971,2813.19995,1641.92004,1338.39001,11381.2998,0.66427,0.54147,Zn,No, 
2575,GUVLAL_clean,GUVLAL_clean,2.306336854,1.972132253,0.334204601,2.384053526,0.404010256,1.208871018,17358.1992,1.21092,8.46005,7.97124,8.46005,2863.18994,1649.47998,1362.17004,11645.4003,0.67089,0.55404,Zn,Yes,Zn
2576,GUVZII_clean,GUVZII_clean,2.820979903,2.078347745,0.742632158,2.845034097,1.016583397,1.368892238,3991.28003,1.14498,11.49557,10.72535,11.49557,579.68298,1452.37,1268.45996,2533.70996,0.63481,0.55443,Fe,Yes,Fe
2580,GUXPOF_clean,GUXPOF_clean,6.986272259,2.719377074,4.266895185,0.911661145,1.430460889,0.335246315,2058.54004,1.20445,5.62972,5.12114,5.55282,164.466,798.94598,663.328,980.81201,0.47646,0.39558,Co,Yes,Co
2587,HABQUY_clean,HABQUY_clean,2.098168556,1.642235851,0.455932705,1.469236223,0.407902949,0.89465604,51745.3007,0.28945,25.71531,12.0883,18.8252,8567.53027,1655.70996,5720.16992,45531.6992,0.87992,3.03995,Cu,Yes,Cu
2588,HABRAF_manual,HABRAF_manual,2.146575926,1.703768654,0.442807272,1.85375555,0.481788672,1.088032431,36670,0.38234,24.30948,9.03515,24.30948,6792.99023,1852.45996,4845.06982,30982.5,0.8449,2.20981,Cu,Yes,Cu
2589,HABREJ_clean,HABREJ_clean,2.794196547,2.306042917,0.48815363,4.087621839,0.865286341,1.772569716,9162.30957,0.92947,7.22153,5.5004,7.20678,1467.59998,1601.78003,1723.32996,5827.68994,0.63605,0.68432,Zn,Yes,Zn
2593,HADLOQ01_clean,HADLOQ01_clean,2.447440388,2.194205512,0.253234876,5.8167753,0.671318326,2.650971054,2535.95996,0.69973,10.03253,9.59417,10.02623,427.68701,1686.48999,2410.18994,1805.19995,0.71184,1.0173,Co,No, 
2601,HAFVUH_SL,HAFVUH_SL,4.358098133,2.138328903,2.21976923,3.620225068,3.758104845,1.69301601,2876.79004,0.94862,7.26111,7.14037,7.26111,428.664,1490.06995,1570.79004,1729.67004,0.60125,0.63382,Mg,No, 
2603,HAFWIW_clean,HAFWIW_clean,20.78150248,2.269644912,18.51185757,0.491253118,4.006797585,0.216444923,10035.7002,1.31519,5.35067,4.98225,5.35067,1501.97998,1496.63,1137.95996,6282.77002,0.62604,0.47601,Cu,Yes,Cu
2606,HAHCUR_clean,HAHCUR_clean,3.431627284,2.061464534,1.37016275,2.205031193,1.465585051,1.069643041,4551.81006,1.10603,7.19827,5.98763,7.19827,489.453,1075.29004,972.20898,2490.70996,0.54719,0.49473,Ni,No, 
2607,HAHPIQ_charged,HAHPIQ_charged,2.341180535,2.099769075,0.24141146,0.733928565,0.08438012,0.349528229,4942.52979,1.59282,9.53782,8.62412,9.53782,273.54401,553.448,347.46399,2219.98999,0.44916,0.28199,Ag,Yes,Ag
2608,HAHPOW_clean,HAHPOW_clean,2.241947792,2.014795426,0.227152366,0.846556809,0.095442634,0.420170106,4927.37012,1.47235,9.6196,8.46967,9.6196,279.48901,567.21802,385.24701,2461.57007,0.49957,0.3393,Ag,Yes,Ag
2616,HAJMIQ_clean,HAJMIQ_clean,2.36138423,2.024263223,0.337121007,2.800803147,0.466446046,1.383616081,18404.3007,0.8732,13.26244,6.64572,13.26244,3553.02002,1930.53003,2210.87988,13347.5996,0.72524,0.83056,Cu,Yes,Cu
2620,HAKCAZ_clean,HAKCAZ_clean,2.370289062,2.089498952,0.28079011,3.15132671,0.423480171,1.508173386,9014.19043,1.17911,7.25791,5.03113,6.91895,1110.5,1231.94995,1044.81006,5201.18994,0.577,0.48935,"Dy,Zn",Yes,"Dy,Zn"
2633,HAMJOW_clean,HAMJOW_clean,3.676233722,2.416119204,1.260114518,3.781798139,1.972377328,1.565236572,2534.87012,0.91611,5.97637,5.66826,5.96867,446.129,1759.96997,1921.14001,1640.03003,0.64699,0.70624,Zn,Yes,Zn
2634,HAMLIT_clean,HAMLIT_clean,3.217882164,2.060063339,1.157818825,3.281054392,1.844053272,1.59269588,4990.62988,1.03116,7.60143,4.74827,7.04866,775.57501,1554.06006,1507.09998,3043.72998,0.60989,0.59146,Zn,Yes,Zn
2635,HAMREU_clean,HAMREU_clean,4.068088851,1.088285703,2.979803147,0.550299943,1.506760125,0.505657606,2322.70996,1.79786,7.3712,5.08597,7.3712,170.83299,735.48901,409.09201,1040.67004,0.44804,0.24921,"Cu,Ce",No, 
2636,HAMRIY_clean,HAMRIY_clean,4.985914346,1.235626664,3.750287682,0.403014064,1.223200116,0.326161676,2204.13989,1.96935,7.12952,5.0191,7.12952,154.048,698.90198,354.89001,941.388,0.4271,0.21687,"Ho,Cu",No, 
2637,HANKUE_clean,HANKUE_clean,3.604403411,1.96481314,1.639590271,3.083641054,2.573225803,1.569432223,129332,1.01875,11.04769,6.93986,11.04769,28653,2215.45996,2174.67993,92065.2031,0.71185,0.69875,"Cd,In",Yes,Cd
2638,HANWAW_clean,HANWAW_clean,2.476256241,2.14115009,0.335106151,4.334295558,0.678349971,2.024283855,14527.7998,0.84049,11.32674,4.96034,11.30095,2693.88989,1854.30005,2206.20996,10054.2998,0.69207,0.82341,Cu,Yes,Cu
2640,HAPBAE_clean,HAPBAE_clean,16.30139254,1.882054129,14.41933841,0.563511467,4.317337323,0.299412997,8587.90039,1.177,7.19899,4.51752,7.19899,1207.37,1405.90002,1194.47998,5207.1001,0.60633,0.51515,"Cu,Ti",Yes,"Cu,Ti"
2641,HAPBEI_clean,HAPBEI_clean,17.83755785,1.8805841,15.95697375,0.504185999,4.278076556,0.268100745,8566.01953,1.1831,7.40345,4.51665,7.18933,1147.43994,1339.53003,1132.21997,5215.93994,0.60891,0.51467,"Cu,Ti",Yes,"Cu,Ti"
2643,HAPGIR_clean,HAPGIR_clean,3.468381269,2.319869787,1.148511482,2.219369281,1.09875611,0.956678385,2919.91992,1.24903,6.12679,5.53694,6.11946,376.54501,1289.56995,1032.45996,1597.28003,0.54703,0.43797,Mn,Yes,Mn
2644,HAPHUD_clean,HAPHUD_clean,3.182823899,2.132160462,1.050663436,3.921312389,1.932302762,1.839126303,6644.58984,0.82711,8.47502,6.8337,8.46296,1151.31995,1732.71997,2094.90991,4393.06982,0.66115,0.79935,Zn,Yes,Zn
2645,HAPNEU_clean,HAPNEU_clean,16.32498687,1.653251041,14.67173583,0.504352386,4.475862882,0.30506703,8421.41992,1.12613,7.1275,4.47989,7.11656,1145.01001,1359.64001,1207.35999,5082.16016,0.60348,0.53589,"Cu,Ti",Yes,"Cu,Ti"
2651,HAQJIV_clean,HAQJIV_clean,3.123852215,2.018422886,1.105429329,4.724106254,2.587250493,2.340493802,11274.5,0.73098,10.92187,6.16089,10.13253,2484.23999,2203.40991,3014.32007,8316.42969,0.73763,1.0091,Cu,Yes,Cu
2652,HAQKES_clean,HAQKES_clean,4.756127999,1.981212621,2.774915378,1.530484829,2.14361944,0.772499031,19429.5,1.26274,7.18365,5.84135,6.93817,3271.97998,1684.03003,1333.63,12113.5,0.62346,0.49373,"Cd,Cu",Yes,"Cd,Cu"
2653,HAQRID_clean,HAQRID_clean,3.678908019,2.075365981,1.603542038,3.21896219,2.48714744,1.551033513,8574.87012,1.01133,8.35999,7.36684,8.35999,1413.68005,1648.63,1630.17004,5574.27002,0.65007,0.64279,Zn,Yes,Zn
2656,HASMIZ_clean,HASMIZ_clean,2.575891039,2.186146887,0.389744152,4.940322487,0.880755914,2.259830992,3538.13989,0.74013,9.9371,5.9051,9.93469,695.38202,1965.38,2655.45996,2421.18994,0.68431,0.92458,Co,No, 
2660,HAVVUX_clean,HAVVUX_clean,2.18266711,2.034845496,0.147821614,1.044065268,0.075846256,0.513093142,4163.91016,2.21863,8.34589,6.74867,8.34589,361.54501,868.28302,391.36099,2084.29004,0.50056,0.22562,Cu,Yes,Cu
2662,HAVZIP_clean,HAVZIP_clean,2.353128268,1.613818032,0.739310236,1.70872422,0.782787948,1.058808481,5373.4502,0.41684,12.95456,9.6087,12.76631,1063.04004,1978.31995,4745.93994,4419.06982,0.82239,1.97289,Co,Yes,Co
2663,HAWGIX_charged,HAWGIX_charged,3.119778204,2.261045391,0.858732813,1.578679139,0.599573801,0.698207628,4722.3999,1.34664,6.23164,4.41484,6.20582,395.414,837.31598,621.78198,2364.40991,0.50068,0.3718,Cd,No, 
2670,HAWWIN_clean,HAWWIN_clean,6.988855926,1.778369982,5.210485944,1.61603861,4.734867629,0.90871901,5118.97021,1.03663,6.94632,6.00048,6.94632,1150.69995,2247.90991,2168.46997,3537.91992,0.69114,0.66672,Nd,Yes,Nd
2671,HAWWOT_clean,HAWWOT_clean,6.795134915,1.720350652,5.074784263,1.613099527,4.758409041,0.937657405,5214.2002,1.0177,7.05521,6.39517,7.05449,1164.18005,2232.70996,2193.87012,3634.13989,0.69697,0.68485,Nd,Yes,Nd
2672,HAWWUZ_clean,HAWWUZ_clean,7.124150839,1.859524298,5.264626541,1.692579456,4.79197757,0.910221747,5163.62988,1.02767,6.85987,6.20916,6.70163,1147.48999,2222.23999,2162.40991,3586.13989,0.6945,0.6758,Nd,Yes,Nd
2675,HAXMUP_clean,HAXMUP_clean,2.183851767,1.898245344,0.285606423,1.067078705,0.160550654,0.562139509,1738.44995,1.0871,8.05193,5.7692,8.05193,179.565,1032.90002,950.14203,1061.05005,0.61034,0.56144,Cu,Yes,Cu
2676,HAYLIE_clean,HAYLIE_clean,3.716270113,2.23180883,1.484461283,3.118111895,2.073975297,1.3971232,2969.94995,0.8225,7.09546,5.16312,7.09546,440.78799,1484.16003,1804.45996,1893.40002,0.63752,0.7751,Zn,Yes,Zn
2689,HAZSIL_clean,HAZSIL_clean,5.770951051,1.992551233,3.778399818,1.788380128,3.391237846,0.897532821,2251.13989,1.19851,7.68408,4.67009,7.57071,412.36401,1831.80005,1528.39001,1421.78003,0.63158,0.52697,Cu,Yes,Cu
